"Platform","sale_in_NA","sale_in_EU","sale_in_JP","sale_in_Other"
PS2,572.9199996776879,332.6299993712455,137.53999921493232,190.46999958530068
X360,594.3300014268607,278.0099996905774,12.29999983869493,84.66999968886375
PS3,388.8999998867512,340.470001488924,79.20999994501472,140.80999928340316
Wii,497.37000140175223,264.35000057704747,68.2799998819828,79.19999970123172
DS,388.29000037536025,194.06999984011054,175.00000010617077,60.269999619573355
GBA,184.1200001873076,74.58999994397163,46.560000129044056,7.609999930486083
PSP,107.0899998601526,67.15999977104366,75.88999985717237,41.519999919459224
PS4,96.79999990947545,123.69999943114817,14.26999993994832,43.35999981127679
XB,182.0600000526756,59.64999961666763,1.3799999821931124,8.47999988310039
"3DS",78.0299997664988,58.29999998211861,97.30000048875809,12.549999922513962
PC,62.729999708011746,118.60999918170273,0.07999999821186066,22.78999974951148
GC,131.9399999100715,38.31999975256622,21.34000006504357,5.129999930039048
XOne,83.19000051543117,45.649999687448144,0.3399999924004078,11.919999942183495
PS,65.69999986886978,46.93000005930662,20.10000004246831,7.949999917298555
WiiU,38.31999969109893,24.22999987192452,12.790000008419156,6.449999999254942
PSV,16.069999936968088,16.270000007003546,20.869999915361404,8.409999961033463
N64,21.879999816417694,6.130000056698918,8.24999986961484,1.0399999935179949
GB,9.119999915361404,5.189999923110008,13.00999996252358,1.6800000052899122
DC,2.530000001192093,0.78999999538064,3.96000000461936,0.12999999709427357
WS,0.0,0.0,0.9599999915808439,0.0
