"region","Genre","sale_in_region","total_sale"
NA,Action,750.9000003468245,1532.3999960441142
NA,Sports,588.280001135543,1130.389995727688
NA,Shooter,485.5600008368492,897.4599992372096
EU,Action,472.06999905593693,1532.3999960441142
EU,Sports,339.5900003667921,1130.389995727688
EU,Shooter,289.95000030100346,897.4599992372096
JP,Role-Playing,238.56999986805022,724.0300012417138
JP,Action,130.73999981582165,1532.3999960441142
JP,Misc,85.08000000752509,725.6299995463341
Other,Action,177.7799987550825,1532.3999960441142
Other,Sports,126.50999985262752,1130.389995727688
Other,Shooter,98.73999972827733,897.4599992372096
